         106992 function calls (103774 primitive calls) in 0.357 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
      265    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
      918    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 typing.py:2338(__new__)
      421    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
      182    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      379    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
      918    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        6    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
       98    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       30    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:801(__init__)
       84    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
      127    0.000    0.000    0.000    0.000 typing.py:1053(<genexpr>)
       36    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _ufunc_config.py:440(__enter__)
       73    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
       56    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
      301    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        6    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
       20    0.000    0.000    0.000    0.000 enum.py:986(__and__)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
      336    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        8    0.000    0.000    0.000    0.000 typing.py:2249(<dictcomp>)
      274    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2690(extend_all)
      480    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       49    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
       36    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        2    0.000    0.000    0.000    0.000 sysconfig.py:164(_safe_realpath)
        2    0.000    0.000    0.000    0.000 posixpath.py:389(realpath)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:230(_extend_dict)
       21    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      288    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      336    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       42    0.000    0.000    0.000    0.000 getlimits.py:102(_float_conv)
        1    0.000    0.000    0.000    0.000 typing.py:735(__or__)
      410    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      419    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 _sysconfigdata__x86_64-linux-gnu.py:1(<module>)
       78    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        2    0.000    0.000    0.000    0.000 _pep440.py:117(parse)
       50    0.000    0.000    0.000    0.000 _add_newdocs.py:6637(refer_to_array_attribute)
      231    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
      203    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
      391    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
       54    0.000    0.000    0.000    0.000 typing.py:1330(<genexpr>)
      3/2    0.000    0.000    0.000    0.000 posixpath.py:398(_joinrealpath)
        5    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
       49    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1386(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _arraypad_impl.py:1(<module>)
       21    0.000    0.000    0.000    0.000 overrides.py:22(get_array_function_like_doc)
        8    0.000    0.000    0.000    0.000 typing.py:722(__init__)
      226    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      112    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       56    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       15    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
    27/19    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
      107    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      355    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        9    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       42    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
      125    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.000    0.000 sysconfig.py:88(_getuserbase)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 multiarray.py:73(_override___module__)
       20    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
       99    0.000    0.000    0.000    0.000 __init__.py:16(set_module)
       34    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
       66    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
      153    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      175    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       14    0.000    0.000    0.000    0.000 posixpath.py:335(normpath)
       82    0.000    0.000    0.000    0.000 typing.py:1055(<genexpr>)
        6    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
        1    0.000    0.000    0.000    0.000 _array_api_info.py:1(<module>)
       14    0.000    0.000    0.000    0.000 os.py:675(__getitem__)
       42    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        7    0.000    0.000    0.000    0.000 abc.py:110(register)
        1    0.000    0.000    0.000    0.000 getlimits.py:384(finfo)
        9    0.000    0.000    0.000    0.000 overrides.py:27(finalize_array_function_like)
       38    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       30    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       99    0.000    0.000    0.000    0.000 __init__.py:27(decorator)
      372    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        4    0.000    0.000    0.000    0.000 _pep440.py:437(_cmpkey)
      139    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
