If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
         5220300 function calls (5110457 primitive calls) in 8.625 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1166    0.003    0.000    0.005    0.000 _docscrape.py:303(parse_item_name)
     6657    0.003    0.000    0.004    0.000 inspect.py:939(<genexpr>)
     6298    0.003    0.000    0.004    0.000 _docscrape.py:403(<genexpr>)
     1841    0.003    0.000    0.088    0.000 core.py:2225(__init__)
     8579    0.003    0.000    0.004    0.000 inspect.py:942(<genexpr>)
     2784    0.003    0.000    0.004    0.000 cbook.py:497(_strip_comment)
2335/2327    0.003    0.000    0.006    0.000 _compiler.py:398(_simple)
      964    0.003    0.000    0.007    0.000 pprint.py:390(_pformat_col_iter)
      667    0.003    0.000    0.004    0.000 pathlib.py:536(__str__)
     7342    0.002    0.000    0.002    0.000 utils.py:25(is_effectively_unity)
       28    0.002    0.000    0.020    0.001 core.py:1217(__init__)
       96    0.002    0.000    0.003    0.000 graph.py:92(frame_set)
     3169    0.002    0.000    0.005    0.000 <frozen _collections_abc>:771(get)
     5597    0.002    0.000    0.002    0.000 _parser.py:113(__init__)
    16139    0.002    0.000    0.002    0.000 copy.py:182(_deepcopy_atomic)
       18    0.002    0.000    0.142    0.008 core.py:1(<module>)
     1606    0.002    0.000    0.132    0.000 inspect.py:3007(from_callable)
     1606    0.002    0.000    0.134    0.000 inspect.py:3261(signature)
     1743    0.002    0.000    0.003    0.000 core.py:1778(_generate_doc)
      624    0.002    0.000    0.004    0.000 _docscrape.py:591(get_func)
      569    0.002    0.000    0.006    0.000 typing.py:251(_collect_parameters)
    16936    0.002    0.000    0.002    0.000 inspect.py:2734(kind)
       21    0.002    0.000    0.044    0.002 base.py:65(get_formats)
      231    0.002    0.000    0.007    0.000 <frozen zipimport>:64(__init__)
      375    0.002    0.000    0.014    0.000 core.py:591(_to)
     2302    0.002    0.000    0.002    0.000 {built-in method _imp.is_builtin}
      405    0.002    0.000    0.009    0.000 _array_api.py:784(xp_capabilities)
     7244    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
      829    0.002    0.000    0.040    0.000 core.py:264(__truediv__)
     1963    0.002    0.000    0.004    0.000 scanner.py:145(need_more_tokens)
      231    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1411(_path_hooks)
      880    0.002    0.000    0.010    0.000 copy.py:259(_reconstruct)
       66    0.002    0.000    0.110    0.002 _axis_nan_policy.py:425(axis_nan_policy_decorator)
      752    0.002    0.000    0.002    0.000 reader.py:99(forward)
     7224    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.lock' objects}
     1116    0.002    0.000    0.004    0.000 _parser.py:86(opengroup)
     4310    0.002    0.000    0.003    0.000 inspect.py:378(isfunction)
      903    0.002    0.000    0.003    0.000 fractions.py:62(__new__)
     2302    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:748(find_spec)
     4281    0.002    0.000    0.002    0.000 agl.py:5085(<listcomp>)
      502    0.002    0.000    0.006    0.000 inspect.py:2037(_signature_bound_method)
       35    0.002    0.000    0.006    0.000 baseconfig.py:461(__new__)
       17    0.002    0.000    0.008    0.000 feedparser.py:216(_parsegen)
     1369    0.002    0.000    0.003    0.000 token.py:15(split)
       34    0.002    0.000    1.170    0.034 utils.py:1(<module>)
     1588    0.002    0.000    0.002    0.000 enum.py:828(__setattr__)
     7992    0.002    0.000    0.002    0.000 {method 'setdefault' of 'dict' objects}
